customer_id,amount,cause,attempts,days_since_failure,past_rate,action_type,recovered
CUST_00001,989.67,insufficient_funds,0,6,0.171,retry,0
CUST_00002,595.49,network_error,0,9,0.744,payment_link,1
CUST_00003,1116.72,insufficient_funds,0,14,0.641,alt_method,0
CUST_00004,2249.41,network_error,1,4,0.428,retry,0
CUST_00005,551.52,bank_declined,3,10,0.686,alt_method,0
CUST_00006,551.53,card_declined,0,5,0.845,retry,1
CUST_00007,2352.82,network_error,3,4,0.463,alt_method,0
CUST_00008,1228.99,card_declined,2,6,0.377,retry,0
CUST_00009,456.88,insufficient_funds,2,11,0.759,retry,1
CUST_00010,1026.64,network_error,0,1,0.348,alt_method,0
CUST_00011,459.1,network_error,3,4,0.415,payment_link,0
CUST_00012,458.25,insufficient_funds,0,14,0.773,retry,0
CUST_00013,807.2,bank_declined,2,9,0.463,alt_method,0
CUST_00014,143.94,bank_declined,0,14,0.632,payment_link,0
CUST_00015,167.35,network_error,3,2,0.62,retry,1
CUST_00016,424.19,network_error,2,8,0.548,payment_link,0
CUST_00017,295.82,insufficient_funds,1,12,0.152,alt_method,0
CUST_00018,855.25,network_error,2,5,0.732,payment_link,0
CUST_00019,321.69,network_error,1,12,0.606,retry,0
CUST_00020,214.9,network_error,0,9,0.89,payment_link,1
CUST_00021,2148.49,bank_declined,0,2,0.744,payment_link,0
CUST_00022,555.23,card_declined,3,6,0.588,alt_method,0
CUST_00023,702.06,insufficient_funds,1,3,0.15,retry,0
CUST_00024,212.77,card_declined,0,13,0.327,payment_link,1
CUST_00025,430.3,insufficient_funds,1,2,0.681,retry,0
CUST_00026,726.86,insufficient_funds,0,7,0.412,payment_link,0
CUST_00027,264.86,network_error,2,12,0.457,alt_method,0
CUST_00028,898.35,bank_declined,0,3,0.445,retry,1
CUST_00029,411.37,card_declined,3,10,0.637,retry,0
CUST_00030,526.71,bank_declined,2,0,0.515,payment_link,0
CUST_00031,411.02,insufficient_funds,3,5,0.554,alt_method,0
CUST_00032,2927.26,bank_declined,2,9,0.303,retry,0
CUST_00033,658.0,network_error,1,10,0.843,payment_link,0
CUST_00034,285.38,card_declined,3,10,0.418,alt_method,0
CUST_00035,1284.39,insufficient_funds,0,0,0.678,alt_method,1
CUST_00036,250.47,insufficient_funds,1,4,0.83,alt_method,1
CUST_00037,786.11,insufficient_funds,0,6,0.902,retry,0
CUST_00038,138.69,bank_declined,2,14,0.689,alt_method,0
CUST_00039,229.86,network_error,2,5,0.266,retry,0
CUST_00040,778.59,bank_declined,0,13,0.631,retry,1
CUST_00041,1200.84,network_error,0,1,0.816,retry,0
CUST_00042,762.88,bank_declined,1,10,0.467,payment_link,0
CUST_00043,606.36,bank_declined,0,3,0.546,alt_method,1
CUST_00044,522.76,bank_declined,3,10,0.48,retry,1
CUST_00045,203.81,insufficient_funds,3,14,0.811,alt_method,0
CUST_00046,373.95,insufficient_funds,0,1,0.635,alt_method,0
CUST_00047,460.12,network_error,3,10,0.849,payment_link,0
